Fiscal Year,Work Location Borough,Regular Gross Paid,OT Hours,Total OT Paid
2020,MANHATTAN,47350.73,359.5,12747.16
2020,MANHATTAN,51222.52,250.25,8756.54
2020,BROOKLYN,53982.16,79.5,2677.81
2020,MANHATTAN,52633.57,149,6055.46
2020,BRONX,64691.15,4.75,167.44
2020,BROOKLYN,48220.55,319.5,11368.77
2020,BROOKLYN,53334.71,83.25,2842.83
2020,MANHATTAN,48914.17,377.25,13098.99
2020,MANHATTAN,61275.53,32.5,1169.61
2020,MANHATTAN,63585.27,5,190.56
2020,MANHATTAN,56547.77,210,6949.15
2020,BROOKLYN,49460.72,175,5720.61
2020,MANHATTAN,48971.23,283.25,10659.63
2020,MANHATTAN,58369.58,123,4005.72
2020,MANHATTAN,48914.17,421.25,14473.39
2020,BROOKLYN,49625.17,57.75,2271.12
2020,MANHATTAN,50866.62,203.75,8026.55
2020,MANHATTAN,48914.17,352,12289.92
2020,MANHATTAN,55894.86,196.5,7094.83
2020,MANHATTAN,46972.69,343.75,11923.88
2020,BROOKLYN,61259.83,35,1405.07
2020,QUEENS,57191.7,25.75,931.96
2020,BRONX,61275.53,3,101.35
2020,QUEENS,61310.9,1.25,43.52
2020,QUEENS,48914.17,220,8240.61
2020,BROOKLYN,49625.17,120.5,3802.18
2020,MANHATTAN,61259.83,31.75,1239.35
2020,BROOKLYN,56281.93,56,2178.08
2020,MANHATTAN,61259.83,24.5,930.92
2020,BRONX,61259.83,11.75,385.47
2020,BROOKLYN,61259.83,8.5,318.28
2020,QUEENS,61259.83,3,100.04
2020,MANHATTAN,55969.08,27.75,1215.72
2020,BROOKLYN,50158.73,4.25,130.69
2020,BROOKLYN,53690.87,103.75,3318.92
2020,MANHATTAN,61259.83,11,355.66
2020,MANHATTAN,54192.31,75,2886.73
2020,QUEENS,61217.33,5,156.4
2020,MANHATTAN,56908.63,5,228.52
2020,MANHATTAN,55267.61,16,621.14
2020,BROOKLYN,55063.67,5,157.48
2020,BROOKLYN,49278.57,244.5,7468.14
2020,MANHATTAN,48933.84,139,5192.77
2020,BROOKLYN,49426.22,97.25,3057.32
2020,MANHATTAN,55898.78,3,92.32
2020,BRONX,55803.37,16,501.08
2020,MANHATTAN,49012.69,57.75,1995.27
2020,BROOKLYN,50146.83,207.25,5991.13
